48, Osasuna, Levante, 2, 1, 1, 17, 20, 1, 2, 1, 6, 0.0, 0.0, 4, 1, 1
49, Valencia, Getafe, 9, 2, 7, 3, 19, 6, 6, 2, 6, 0.5, 1.0, 2, 1, 1
50, Murcia, Almería, 5, 4, 1, 11, 15, 3, 4, 6, 6, 0.5, 0.0, 0, 1, 2
51, Zaragoza, Sevilla, 5, 6, -1, 14, 10, 6, 9, 11, 7, 0.5, 0.0, 2, 0, 1
52, Betis, Mallorca, 2, 8, -6, 18, 6, 4, 8, 9, 5, 0.0, 0.0, 3, 0, 1
53, Villarreal, Athletic, 12, 5, 7, 2, 15, 8, 5, 4, 7, 0.5, 1.0, 1, 0, 1
54, Getafe, R. Madrid, 2, 13, -11, 19, 1, 3, 8, 13, 3, 0.0, 0.0, 0, 1, 2
55, Levante, Barcelona, 1, 11, -10, 20, 4, 2, 10, 9, 3, 0.0, 0.0, 1, 4, 2
56, At. Madrid, Osasuna, 8, 5, 3, 5, 11, 9, 4, 5, 3, 0.5, 0.33333334, 2, 0, 1
57, Espanyol, Deportivo, 7, 5, 2, 9, 16, 7, 7, 3, 7, 0.5, 0.33333334, 1, 0, 1
58, Almería, Racing, 7, 5, 2, 8, 17, 7, 6, 2, 7, 0.0, 0.6666667, 0, 1, 2
59, Recreativo, Valencia, 8, 12, -4, 7, 3, 7, 7, 8, 7, 0.5, 0.33333334, 0, 1, 2
60, Valladolid, Murcia, 5, 5, 0, 12, 13, 7, 9, 3, 5, 0.0, 0.33333334, 1, 4, 2
61, Sevilla, Deportivo, 6, 5, 1, 13, 18, 11, 9, 3, 8, 0.6666667, 0.0, 0, 1, 2
62, Athletic, Almería, 5, 7, -2, 16, 12, 4, 8, 7, 7, 0.0, 0.33333334, 1, 1, X
63, Zaragoza, Levante, 8, 1, 7, 9, 20, 8, 9, 3, 14, 0.6666667, 0.0, 3, 0, 1
64, Racing, Valladolid, 8, 5, 3, 11, 17, 3, 7, 8, 13, 0.33333334, 0.33333334, 2, 0, 1
65, Barcelona, At. Madrid, 14, 11, 3, 4, 5, 13, 4, 11, 4, 1.0, 0.33333334, 3, 0, 1
66, Mallorca, Getafe, 8, 2, 6, 7, 19, 9, 8, 3, 9, 0.6666667, 0.0, 4, 2, 1
67, R. Madrid, Recreativo, 16, 8, 8, 1, 10, 14, 3, 7, 8, 1.0, 0.6666667, 2, 0, 1
68, Osasuna, Villarreal, 5, 15, -10, 14, 2, 5, 5, 9, 5, 0.5, 0.0, 3, 2, 1
69, Valencia, Espanyol, 15, 10, 5, 3, 6, 9, 7, 8, 7, 0.6666667, 1.0, 1, 2, 2
